,Found,Truth
human4_lib1.final_cell_0088,1,delta
human4_lib1.final_cell_0090,1,delta
human4_lib1.final_cell_0097,1,delta
human4_lib1.final_cell_0106,1,delta
human4_lib1.final_cell_0109,1,delta
human4_lib1.final_cell_0114,1,delta
human4_lib1.final_cell_0129,1,delta
human4_lib1.final_cell_0138,1,delta
human4_lib1.final_cell_0140,1,delta
human4_lib1.final_cell_0141,1,delta
human4_lib1.final_cell_0169,1,delta
human4_lib1.final_cell_0176,1,delta
human4_lib1.final_cell_0180,1,delta
human4_lib1.final_cell_0186,1,delta
human4_lib1.final_cell_0189,1,delta
human4_lib1.final_cell_0192,1,delta
human4_lib1.final_cell_0200,1,delta
human4_lib1.final_cell_0204,1,delta
human4_lib1.final_cell_0229,1,delta
human4_lib1.final_cell_0249,1,delta
human4_lib1.final_cell_0267,1,delta
human4_lib1.final_cell_0297,1,delta
human4_lib1.final_cell_0301,1,delta
human4_lib1.final_cell_0312,1,delta
human4_lib1.final_cell_0317,1,delta
human4_lib1.final_cell_0318,1,delta
human4_lib1.final_cell_0319,1,delta
human4_lib1.final_cell_0337,1,delta
human4_lib1.final_cell_0347,1,delta
human4_lib1.final_cell_0377,1,delta
human4_lib1.final_cell_0387,1,delta
human4_lib1.final_cell_0393,1,delta
human4_lib1.final_cell_0406,1,delta
human4_lib1.final_cell_0419,1,delta
human4_lib1.final_cell_0453,1,delta
human4_lib1.final_cell_0494,1,delta
human4_lib1.final_cell_0530,1,delta
human4_lib1.final_cell_0533,1,delta
human4_lib1.final_cell_0550,1,delta
human4_lib1.final_cell_0571,1,delta
human4_lib3.final_cell_0002,1,delta
human4_lib3.final_cell_0003,1,delta
human4_lib3.final_cell_0018,1,delta
human4_lib3.final_cell_0026,1,delta
human4_lib3.final_cell_0030,1,delta
human4_lib3.final_cell_0033,1,delta
human4_lib3.final_cell_0036,1,delta
human4_lib3.final_cell_0039,1,delta
human4_lib3.final_cell_0047,1,delta
human4_lib3.final_cell_0050,1,delta
human4_lib3.final_cell_0053,1,delta
human4_lib3.final_cell_0056,1,delta
human4_lib3.final_cell_0058,1,delta
human4_lib3.final_cell_0070,1,delta
human4_lib3.final_cell_0074,1,delta
human4_lib3.final_cell_0080,1,delta
human4_lib3.final_cell_0083,1,delta
human4_lib3.final_cell_0093,1,delta
human4_lib3.final_cell_0107,1,delta
human4_lib3.final_cell_0110,1,delta
human4_lib3.final_cell_0111,1,delta
human4_lib3.final_cell_0115,1,delta
human4_lib3.final_cell_0137,1,delta
human4_lib3.final_cell_0148,1,delta
human4_lib3.final_cell_0154,1,delta
human4_lib3.final_cell_0161,1,delta
human4_lib3.final_cell_0165,1,delta
human4_lib3.final_cell_0174,1,delta
human4_lib3.final_cell_0177,1,delta
human4_lib3.final_cell_0190,1,delta
human4_lib3.final_cell_0218,1,delta
human4_lib3.final_cell_0224,1,delta
human4_lib3.final_cell_0233,1,delta
human4_lib3.final_cell_0236,1,delta
human4_lib3.final_cell_0250,1,delta
human4_lib3.final_cell_0269,1,delta
human4_lib3.final_cell_0271,1,delta
human4_lib3.final_cell_0303,1,delta
human4_lib3.final_cell_0322,1,delta
human4_lib3.final_cell_0326,1,delta
human4_lib3.final_cell_0331,1,delta
human4_lib3.final_cell_0346,1,delta
human4_lib3.final_cell_0372,1,delta
human4_lib3.final_cell_0410,1,delta
human4_lib3.final_cell_0451,1,delta
human4_lib3.final_cell_0481,1,delta
human4_lib3.final_cell_0499,1,delta
human4_lib3.final_cell_0544,1,delta
human4_lib3.final_cell_0581,1,delta
human4_lib3.final_cell_0655,1,delta
human4_lib3.final_cell_0680,1,delta
human4_lib3.final_cell_0009,1,ductal
human4_lib1.final_cell_0017,2,beta
human4_lib1.final_cell_0020,2,beta
human4_lib1.final_cell_0021,2,beta
human4_lib1.final_cell_0026,2,beta
human4_lib1.final_cell_0027,2,beta
human4_lib1.final_cell_0034,2,beta
human4_lib1.final_cell_0037,2,beta
human4_lib1.final_cell_0038,2,beta
human4_lib1.final_cell_0041,2,beta
human4_lib1.final_cell_0042,2,beta
human4_lib1.final_cell_0046,2,beta
human4_lib1.final_cell_0047,2,beta
human4_lib1.final_cell_0049,2,beta
human4_lib1.final_cell_0051,2,beta
human4_lib1.final_cell_0053,2,beta
human4_lib1.final_cell_0056,2,beta
human4_lib1.final_cell_0058,2,beta
human4_lib1.final_cell_0059,2,beta
human4_lib1.final_cell_0061,2,beta
human4_lib1.final_cell_0063,2,beta
human4_lib1.final_cell_0072,2,beta
human4_lib1.final_cell_0075,2,beta
human4_lib1.final_cell_0078,2,beta
human4_lib1.final_cell_0080,2,beta
human4_lib1.final_cell_0081,2,beta
human4_lib1.final_cell_0084,2,beta
human4_lib1.final_cell_0085,2,beta
human4_lib1.final_cell_0086,2,beta
human4_lib1.final_cell_0087,2,beta
human4_lib1.final_cell_0089,2,beta
human4_lib1.final_cell_0100,2,beta
human4_lib1.final_cell_0102,2,beta
human4_lib1.final_cell_0103,2,beta
human4_lib1.final_cell_0105,2,beta
human4_lib1.final_cell_0110,2,beta
human4_lib1.final_cell_0112,2,beta
human4_lib1.final_cell_0113,2,beta
human4_lib1.final_cell_0120,2,beta
human4_lib1.final_cell_0121,2,beta
human4_lib1.final_cell_0124,2,beta
human4_lib1.final_cell_0125,2,beta
human4_lib1.final_cell_0126,2,beta
human4_lib1.final_cell_0130,2,beta
human4_lib1.final_cell_0132,2,beta
human4_lib1.final_cell_0135,2,beta
human4_lib1.final_cell_0139,2,beta
human4_lib1.final_cell_0150,2,beta
human4_lib1.final_cell_0151,2,beta
human4_lib1.final_cell_0153,2,beta
human4_lib1.final_cell_0155,2,beta
human4_lib1.final_cell_0156,2,beta
human4_lib1.final_cell_0159,2,beta
human4_lib1.final_cell_0160,2,beta
human4_lib1.final_cell_0163,2,beta
human4_lib1.final_cell_0164,2,beta
human4_lib1.final_cell_0166,2,beta
human4_lib1.final_cell_0167,2,beta
human4_lib1.final_cell_0170,2,beta
human4_lib1.final_cell_0172,2,beta
human4_lib1.final_cell_0173,2,beta
human4_lib1.final_cell_0174,2,beta
human4_lib1.final_cell_0175,2,beta
human4_lib1.final_cell_0177,2,beta
human4_lib1.final_cell_0188,2,beta
human4_lib1.final_cell_0193,2,beta
human4_lib1.final_cell_0194,2,beta
human4_lib1.final_cell_0197,2,beta
human4_lib1.final_cell_0198,2,beta
human4_lib1.final_cell_0202,2,beta
human4_lib1.final_cell_0205,2,beta
human4_lib1.final_cell_0206,2,beta
human4_lib1.final_cell_0210,2,beta
human4_lib1.final_cell_0215,2,beta
human4_lib1.final_cell_0218,2,beta
human4_lib1.final_cell_0219,2,beta
human4_lib1.final_cell_0221,2,beta
human4_lib1.final_cell_0222,2,beta
human4_lib1.final_cell_0224,2,beta
human4_lib1.final_cell_0225,2,beta
human4_lib1.final_cell_0226,2,beta
human4_lib1.final_cell_0227,2,beta
human4_lib1.final_cell_0234,2,beta
human4_lib1.final_cell_0236,2,beta
human4_lib1.final_cell_0237,2,beta
human4_lib1.final_cell_0241,2,beta
human4_lib1.final_cell_0243,2,beta
human4_lib1.final_cell_0244,2,beta
human4_lib1.final_cell_0245,2,beta
human4_lib1.final_cell_0246,2,beta
human4_lib1.final_cell_0247,2,beta
human4_lib1.final_cell_0253,2,beta
human4_lib1.final_cell_0261,2,beta
human4_lib1.final_cell_0262,2,beta
human4_lib1.final_cell_0266,2,beta
human4_lib1.final_cell_0269,2,beta
human4_lib1.final_cell_0272,2,beta
human4_lib1.final_cell_0274,2,beta
human4_lib1.final_cell_0276,2,beta
human4_lib1.final_cell_0277,2,beta
human4_lib1.final_cell_0278,2,beta
human4_lib1.final_cell_0280,2,beta
human4_lib1.final_cell_0282,2,beta
human4_lib1.final_cell_0283,2,beta
human4_lib1.final_cell_0288,2,beta
human4_lib1.final_cell_0290,2,beta
human4_lib1.final_cell_0291,2,beta
human4_lib1.final_cell_0292,2,beta
human4_lib1.final_cell_0293,2,beta
human4_lib1.final_cell_0299,2,beta
human4_lib1.final_cell_0300,2,beta
human4_lib1.final_cell_0304,2,beta
human4_lib1.final_cell_0305,2,beta
human4_lib1.final_cell_0307,2,beta
human4_lib1.final_cell_0313,2,beta
human4_lib1.final_cell_0316,2,beta
human4_lib1.final_cell_0321,2,beta
human4_lib1.final_cell_0322,2,beta
human4_lib1.final_cell_0325,2,beta
human4_lib1.final_cell_0330,2,beta
human4_lib1.final_cell_0334,2,beta
human4_lib1.final_cell_0339,2,beta
human4_lib1.final_cell_0340,2,beta
human4_lib1.final_cell_0342,2,beta
human4_lib1.final_cell_0348,2,beta
human4_lib1.final_cell_0352,2,beta
human4_lib1.final_cell_0356,2,beta
human4_lib1.final_cell_0358,2,beta
human4_lib1.final_cell_0359,2,beta
human4_lib1.final_cell_0366,2,beta
human4_lib1.final_cell_0368,2,beta
human4_lib1.final_cell_0374,2,beta
human4_lib1.final_cell_0375,2,beta
human4_lib1.final_cell_0378,2,beta
human4_lib1.final_cell_0380,2,beta
human4_lib1.final_cell_0381,2,beta
human4_lib1.final_cell_0382,2,beta
human4_lib1.final_cell_0383,2,beta
human4_lib1.final_cell_0385,2,beta
human4_lib1.final_cell_0389,2,beta
human4_lib1.final_cell_0390,2,beta
human4_lib1.final_cell_0396,2,beta
human4_lib1.final_cell_0397,2,beta
human4_lib1.final_cell_0398,2,beta
human4_lib1.final_cell_0401,2,beta
human4_lib1.final_cell_0403,2,beta
human4_lib1.final_cell_0404,2,beta
human4_lib1.final_cell_0405,2,beta
human4_lib1.final_cell_0407,2,beta
human4_lib1.final_cell_0409,2,beta
human4_lib1.final_cell_0410,2,beta
human4_lib1.final_cell_0411,2,beta
human4_lib1.final_cell_0412,2,beta
human4_lib1.final_cell_0414,2,beta
human4_lib1.final_cell_0415,2,beta
human4_lib1.final_cell_0417,2,beta
human4_lib1.final_cell_0418,2,beta
human4_lib1.final_cell_0423,2,beta
human4_lib1.final_cell_0426,2,beta
human4_lib1.final_cell_0427,2,beta
human4_lib1.final_cell_0429,2,beta
human4_lib1.final_cell_0430,2,beta
human4_lib1.final_cell_0431,2,beta
human4_lib1.final_cell_0432,2,beta
human4_lib1.final_cell_0433,2,beta
human4_lib1.final_cell_0434,2,beta
human4_lib1.final_cell_0436,2,beta
human4_lib1.final_cell_0437,2,beta
human4_lib1.final_cell_0444,2,beta
human4_lib1.final_cell_0445,2,beta
human4_lib1.final_cell_0451,2,beta
human4_lib1.final_cell_0454,2,beta
human4_lib1.final_cell_0456,2,beta
human4_lib1.final_cell_0459,2,beta
human4_lib1.final_cell_0461,2,beta
human4_lib1.final_cell_0463,2,beta
human4_lib1.final_cell_0465,2,beta
human4_lib1.final_cell_0467,2,beta
human4_lib1.final_cell_0474,2,beta
human4_lib1.final_cell_0475,2,beta
human4_lib1.final_cell_0476,2,beta
human4_lib1.final_cell_0478,2,beta
human4_lib1.final_cell_0482,2,beta
human4_lib1.final_cell_0486,2,beta
human4_lib1.final_cell_0489,2,beta
human4_lib1.final_cell_0490,2,beta
human4_lib1.final_cell_0491,2,beta
human4_lib1.final_cell_0497,2,beta
human4_lib1.final_cell_0499,2,beta
human4_lib1.final_cell_0500,2,beta
human4_lib1.final_cell_0501,2,beta
human4_lib1.final_cell_0503,2,beta
human4_lib1.final_cell_0504,2,beta
human4_lib1.final_cell_0509,2,beta
human4_lib1.final_cell_0510,2,beta
human4_lib1.final_cell_0512,2,beta
human4_lib1.final_cell_0514,2,beta
human4_lib1.final_cell_0515,2,beta
human4_lib1.final_cell_0516,2,beta
human4_lib1.final_cell_0521,2,beta
human4_lib1.final_cell_0522,2,beta
human4_lib1.final_cell_0523,2,beta
human4_lib1.final_cell_0524,2,beta
human4_lib1.final_cell_0525,2,beta
human4_lib1.final_cell_0527,2,beta
human4_lib1.final_cell_0529,2,beta
human4_lib1.final_cell_0531,2,beta
human4_lib1.final_cell_0532,2,beta
human4_lib1.final_cell_0535,2,beta
human4_lib1.final_cell_0537,2,beta
human4_lib1.final_cell_0538,2,beta
human4_lib1.final_cell_0539,2,beta
human4_lib1.final_cell_0542,2,beta
human4_lib1.final_cell_0543,2,beta
human4_lib1.final_cell_0546,2,beta
human4_lib1.final_cell_0551,2,beta
human4_lib1.final_cell_0552,2,beta
human4_lib1.final_cell_0553,2,beta
human4_lib1.final_cell_0555,2,beta
human4_lib1.final_cell_0557,2,beta
human4_lib1.final_cell_0563,2,beta
human4_lib1.final_cell_0565,2,beta
human4_lib1.final_cell_0567,2,beta
human4_lib1.final_cell_0576,2,beta
human4_lib1.final_cell_0577,2,beta
human4_lib1.final_cell_0582,2,beta
human4_lib1.final_cell_0583,2,beta
human4_lib1.final_cell_0586,2,beta
human4_lib1.final_cell_0587,2,beta
human4_lib1.final_cell_0589,2,beta
human4_lib1.final_cell_0597,2,beta
human4_lib1.final_cell_0598,2,beta
human4_lib3.final_cell_0001,2,beta
human4_lib3.final_cell_0004,2,beta
human4_lib3.final_cell_0007,2,beta
human4_lib3.final_cell_0010,2,beta
human4_lib3.final_cell_0012,2,beta
human4_lib3.final_cell_0016,2,beta
human4_lib3.final_cell_0024,2,beta
human4_lib3.final_cell_0025,2,beta
human4_lib3.final_cell_0027,2,beta
human4_lib3.final_cell_0029,2,beta
human4_lib3.final_cell_0034,2,beta
human4_lib3.final_cell_0037,2,beta
human4_lib3.final_cell_0040,2,beta
human4_lib3.final_cell_0041,2,beta
human4_lib3.final_cell_0042,2,beta
human4_lib3.final_cell_0051,2,beta
human4_lib3.final_cell_0052,2,beta
human4_lib3.final_cell_0061,2,beta
human4_lib3.final_cell_0065,2,beta
human4_lib3.final_cell_0066,2,beta
human4_lib3.final_cell_0067,2,beta
human4_lib3.final_cell_0068,2,beta
human4_lib3.final_cell_0077,2,beta
human4_lib3.final_cell_0078,2,beta
human4_lib3.final_cell_0081,2,beta
human4_lib3.final_cell_0085,2,beta
human4_lib3.final_cell_0089,2,beta
human4_lib3.final_cell_0091,2,beta
human4_lib3.final_cell_0092,2,beta
human4_lib3.final_cell_0094,2,beta
human4_lib3.final_cell_0099,2,beta
human4_lib3.final_cell_0101,2,beta
human4_lib3.final_cell_0103,2,beta
human4_lib3.final_cell_0105,2,beta
human4_lib3.final_cell_0108,2,beta
human4_lib3.final_cell_0112,2,beta
human4_lib3.final_cell_0116,2,beta
human4_lib3.final_cell_0117,2,beta
human4_lib3.final_cell_0121,2,beta
human4_lib3.final_cell_0126,2,beta
human4_lib3.final_cell_0135,2,beta
human4_lib3.final_cell_0139,2,beta
human4_lib3.final_cell_0140,2,beta
human4_lib3.final_cell_0142,2,beta
human4_lib3.final_cell_0143,2,beta
human4_lib3.final_cell_0149,2,beta
human4_lib3.final_cell_0150,2,beta
human4_lib3.final_cell_0151,2,beta
human4_lib3.final_cell_0152,2,beta
human4_lib3.final_cell_0155,2,beta
human4_lib3.final_cell_0156,2,beta
human4_lib3.final_cell_0157,2,beta
human4_lib3.final_cell_0162,2,beta
human4_lib3.final_cell_0168,2,beta
human4_lib3.final_cell_0169,2,beta
human4_lib3.final_cell_0172,2,beta
human4_lib3.final_cell_0176,2,beta
human4_lib3.final_cell_0180,2,beta
human4_lib3.final_cell_0182,2,beta
human4_lib3.final_cell_0186,2,beta
human4_lib3.final_cell_0189,2,beta
human4_lib3.final_cell_0192,2,beta
human4_lib3.final_cell_0197,2,beta
human4_lib3.final_cell_0198,2,beta
human4_lib3.final_cell_0199,2,beta
human4_lib3.final_cell_0202,2,beta
human4_lib3.final_cell_0213,2,beta
human4_lib3.final_cell_0214,2,beta
human4_lib3.final_cell_0219,2,beta
human4_lib3.final_cell_0223,2,beta
human4_lib3.final_cell_0225,2,beta
human4_lib3.final_cell_0228,2,beta
human4_lib3.final_cell_0232,2,beta
human4_lib3.final_cell_0234,2,beta
human4_lib3.final_cell_0235,2,beta
human4_lib3.final_cell_0237,2,beta
human4_lib3.final_cell_0244,2,beta
human4_lib3.final_cell_0249,2,beta
human4_lib3.final_cell_0251,2,beta
human4_lib3.final_cell_0253,2,beta
human4_lib3.final_cell_0255,2,beta
human4_lib3.final_cell_0257,2,beta
human4_lib3.final_cell_0258,2,beta
human4_lib3.final_cell_0262,2,beta
human4_lib3.final_cell_0266,2,beta
human4_lib3.final_cell_0267,2,beta
human4_lib3.final_cell_0268,2,beta
human4_lib3.final_cell_0278,2,beta
human4_lib3.final_cell_0284,2,beta
human4_lib3.final_cell_0285,2,beta
human4_lib3.final_cell_0288,2,beta
human4_lib3.final_cell_0297,2,beta
human4_lib3.final_cell_0300,2,beta
human4_lib3.final_cell_0301,2,beta
human4_lib3.final_cell_0302,2,beta
human4_lib3.final_cell_0305,2,beta
human4_lib3.final_cell_0306,2,beta
human4_lib3.final_cell_0307,2,beta
human4_lib3.final_cell_0310,2,beta
human4_lib3.final_cell_0312,2,beta
human4_lib3.final_cell_0313,2,beta
human4_lib3.final_cell_0315,2,beta
human4_lib3.final_cell_0319,2,beta
human4_lib3.final_cell_0320,2,beta
human4_lib3.final_cell_0323,2,beta
human4_lib3.final_cell_0334,2,beta
human4_lib3.final_cell_0338,2,beta
human4_lib3.final_cell_0341,2,beta
human4_lib3.final_cell_0344,2,beta
human4_lib3.final_cell_0351,2,beta
human4_lib3.final_cell_0352,2,beta
human4_lib3.final_cell_0353,2,beta
human4_lib3.final_cell_0356,2,beta
human4_lib3.final_cell_0357,2,beta
human4_lib3.final_cell_0358,2,beta
human4_lib3.final_cell_0361,2,beta
human4_lib3.final_cell_0364,2,beta
human4_lib3.final_cell_0365,2,beta
human4_lib3.final_cell_0367,2,beta
human4_lib3.final_cell_0368,2,beta
human4_lib3.final_cell_0370,2,beta
human4_lib3.final_cell_0373,2,beta
human4_lib3.final_cell_0374,2,beta
human4_lib3.final_cell_0377,2,beta
human4_lib3.final_cell_0380,2,beta
human4_lib3.final_cell_0381,2,beta
human4_lib3.final_cell_0387,2,beta
human4_lib3.final_cell_0391,2,beta
human4_lib3.final_cell_0392,2,beta
human4_lib3.final_cell_0395,2,beta
human4_lib3.final_cell_0398,2,beta
human4_lib3.final_cell_0402,2,beta
human4_lib3.final_cell_0403,2,beta
human4_lib3.final_cell_0406,2,beta
human4_lib3.final_cell_0412,2,beta
human4_lib3.final_cell_0414,2,beta
human4_lib3.final_cell_0415,2,beta
human4_lib3.final_cell_0417,2,beta
human4_lib3.final_cell_0419,2,beta
human4_lib3.final_cell_0420,2,beta
human4_lib3.final_cell_0429,2,beta
human4_lib3.final_cell_0431,2,beta
human4_lib3.final_cell_0437,2,beta
human4_lib3.final_cell_0440,2,beta
human4_lib3.final_cell_0446,2,beta
human4_lib3.final_cell_0447,2,beta
human4_lib3.final_cell_0449,2,beta
human4_lib3.final_cell_0450,2,beta
human4_lib3.final_cell_0454,2,beta
human4_lib3.final_cell_0455,2,beta
human4_lib3.final_cell_0456,2,beta
human4_lib3.final_cell_0457,2,beta
human4_lib3.final_cell_0458,2,beta
human4_lib3.final_cell_0460,2,beta
human4_lib3.final_cell_0463,2,beta
human4_lib3.final_cell_0466,2,beta
human4_lib3.final_cell_0467,2,beta
human4_lib3.final_cell_0470,2,beta
human4_lib3.final_cell_0472,2,beta
human4_lib3.final_cell_0473,2,beta
human4_lib3.final_cell_0476,2,beta
human4_lib3.final_cell_0478,2,beta
human4_lib3.final_cell_0480,2,beta
human4_lib3.final_cell_0483,2,beta
human4_lib3.final_cell_0487,2,beta
human4_lib3.final_cell_0489,2,beta
human4_lib3.final_cell_0490,2,beta
human4_lib3.final_cell_0491,2,beta
human4_lib3.final_cell_0492,2,beta
human4_lib3.final_cell_0493,2,beta
human4_lib3.final_cell_0494,2,beta
human4_lib3.final_cell_0500,2,beta
human4_lib3.final_cell_0502,2,beta
human4_lib3.final_cell_0503,2,beta
human4_lib3.final_cell_0505,2,beta
human4_lib3.final_cell_0506,2,beta
human4_lib3.final_cell_0508,2,beta
human4_lib3.final_cell_0511,2,beta
human4_lib3.final_cell_0512,2,beta
human4_lib3.final_cell_0514,2,beta
human4_lib3.final_cell_0515,2,beta
human4_lib3.final_cell_0518,2,beta
human4_lib3.final_cell_0519,2,beta
human4_lib3.final_cell_0533,2,beta
human4_lib3.final_cell_0534,2,beta
human4_lib3.final_cell_0535,2,beta
human4_lib3.final_cell_0539,2,beta
human4_lib3.final_cell_0542,2,beta
human4_lib3.final_cell_0543,2,beta
human4_lib3.final_cell_0547,2,beta
human4_lib3.final_cell_0548,2,beta
human4_lib3.final_cell_0550,2,beta
human4_lib3.final_cell_0551,2,beta
human4_lib3.final_cell_0552,2,beta
human4_lib3.final_cell_0554,2,beta
human4_lib3.final_cell_0555,2,beta
human4_lib3.final_cell_0557,2,beta
human4_lib3.final_cell_0562,2,beta
human4_lib3.final_cell_0564,2,beta
human4_lib3.final_cell_0567,2,beta
human4_lib3.final_cell_0569,2,beta
human4_lib3.final_cell_0571,2,beta
human4_lib3.final_cell_0572,2,beta
human4_lib3.final_cell_0576,2,beta
human4_lib3.final_cell_0579,2,beta
human4_lib3.final_cell_0580,2,beta
human4_lib3.final_cell_0582,2,beta
human4_lib3.final_cell_0583,2,beta
human4_lib3.final_cell_0584,2,beta
human4_lib3.final_cell_0585,2,beta
human4_lib3.final_cell_0592,2,beta
human4_lib3.final_cell_0593,2,beta
human4_lib3.final_cell_0597,2,beta
human4_lib3.final_cell_0601,2,beta
human4_lib3.final_cell_0605,2,beta
human4_lib3.final_cell_0606,2,beta
human4_lib3.final_cell_0609,2,beta
human4_lib3.final_cell_0610,2,beta
human4_lib3.final_cell_0612,2,beta
human4_lib3.final_cell_0618,2,beta
human4_lib3.final_cell_0619,2,beta
human4_lib3.final_cell_0621,2,beta
human4_lib3.final_cell_0623,2,beta
human4_lib3.final_cell_0624,2,beta
human4_lib3.final_cell_0625,2,beta
human4_lib3.final_cell_0626,2,beta
human4_lib3.final_cell_0627,2,beta
human4_lib3.final_cell_0630,2,beta
human4_lib3.final_cell_0631,2,beta
human4_lib3.final_cell_0632,2,beta
human4_lib3.final_cell_0633,2,beta
human4_lib3.final_cell_0634,2,beta
human4_lib3.final_cell_0636,2,beta
human4_lib3.final_cell_0638,2,beta
human4_lib3.final_cell_0651,2,beta
human4_lib3.final_cell_0653,2,beta
human4_lib3.final_cell_0657,2,beta
human4_lib3.final_cell_0661,2,beta
human4_lib3.final_cell_0663,2,beta
human4_lib3.final_cell_0665,2,beta
human4_lib3.final_cell_0667,2,beta
human4_lib3.final_cell_0668,2,beta
human4_lib3.final_cell_0669,2,beta
human4_lib3.final_cell_0673,2,beta
human4_lib3.final_cell_0674,2,beta
human4_lib3.final_cell_0675,2,beta
human4_lib3.final_cell_0678,2,beta
human4_lib3.final_cell_0684,2,beta
human4_lib3.final_cell_0685,2,beta
human4_lib3.final_cell_0687,2,beta
human4_lib3.final_cell_0688,2,beta
human4_lib3.final_cell_0690,2,beta
human4_lib3.final_cell_0691,2,beta
human4_lib3.final_cell_0692,2,beta
human4_lib3.final_cell_0693,2,beta
human4_lib3.final_cell_0695,2,beta
human4_lib3.final_cell_0696,2,beta
human4_lib3.final_cell_0699,2,beta
human4_lib3.final_cell_0700,2,beta
human4_lib3.final_cell_0599,2,delta
human4_lib1.final_cell_0008,3,alpha
human4_lib1.final_cell_0011,3,alpha
human4_lib1.final_cell_0025,3,alpha
human4_lib1.final_cell_0036,3,alpha
human4_lib1.final_cell_0039,3,alpha
human4_lib1.final_cell_0043,3,alpha
human4_lib1.final_cell_0048,3,alpha
human4_lib1.final_cell_0050,3,alpha
human4_lib1.final_cell_0055,3,alpha
human4_lib1.final_cell_0067,3,alpha
human4_lib1.final_cell_0068,3,alpha
human4_lib1.final_cell_0074,3,alpha
human4_lib1.final_cell_0091,3,alpha
human4_lib1.final_cell_0093,3,alpha
human4_lib1.final_cell_0094,3,alpha
human4_lib1.final_cell_0095,3,alpha
human4_lib1.final_cell_0104,3,alpha
human4_lib1.final_cell_0107,3,alpha
human4_lib1.final_cell_0108,3,alpha
human4_lib1.final_cell_0117,3,alpha
human4_lib1.final_cell_0123,3,alpha
human4_lib1.final_cell_0136,3,alpha
human4_lib1.final_cell_0142,3,alpha
human4_lib1.final_cell_0143,3,alpha
human4_lib1.final_cell_0146,3,alpha
human4_lib1.final_cell_0152,3,alpha
human4_lib1.final_cell_0154,3,alpha
human4_lib1.final_cell_0161,3,alpha
human4_lib1.final_cell_0162,3,alpha
human4_lib1.final_cell_0165,3,alpha
human4_lib1.final_cell_0168,3,alpha
human4_lib1.final_cell_0171,3,alpha
human4_lib1.final_cell_0182,3,alpha
human4_lib1.final_cell_0184,3,alpha
human4_lib1.final_cell_0185,3,alpha
human4_lib1.final_cell_0187,3,alpha
